[2025-11-15 21:46:29] [INFO    ] discord.client: logging in using static token
[2025-11-15 21:46:30] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-11-15 21:46:30] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-11-15 21:46:30] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1438264370248421406', 'username': 'FATTY_BOT', 'avatar': 'cb9f4797d2ad87f41fd91107688bf385', 'discriminator': '5038', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'fc5aabe921b19d93355cea3c192229f1', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-11-15 21:46:30] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-11-15 21:46:30] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-11-15 21:46:30] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1438264370248421406', 'name': 'FATTY_BOT', 'icon': 'cb9f4797d2ad87f41fd91107688bf385', 'description': 'A bot for me and my freinds discord server. FATTY SMP.', 'type': None, 'bot': {'id': '1438264370248421406', 'username': 'FATTY_BOT', 'avatar': 'cb9f4797d2ad87f41fd91107688bf385', 'discriminator': '5038', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'fc5aabe921b19d93355cea3c192229f1', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'f84e4d6061966b3d7a5b5e306087faf0f8670bd9bbf98ff8e71fecc88a24b572', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1309678014057021472', 'username': 'captain_aarav', 'avatar': 'a6baa13be9a46df5a0ae47794680750a', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': 'a82b2be98c35e630226ad344297a3635', 'accent_color': 1048831, 'global_name': 'Captain Aarav', 'avatar_decoration_data': None, 'collectibles': {'nameplate': {'sku_id': '1409983105577783410', 'asset': 'nameplates/special_events_2/nitro_rocketfuel_nameplate/', 'label': 'COLLECTIBLES_SEPTEMBER_2025_MARKETING_NAMEPLATE_A11Y', 'palette': 'violet'}}, 'display_name_styles': {'font_id': 6, 'effect_id': 2, 'colors': [16095292, 15031015]}, 'banner_color': '#1000ff', 'clan': {'identity_guild_id': '703923823887515720', 'identity_enabled': True, 'tag': 'VTSM', 'badge': '5410c0c04f21555354039fd700661550'}, 'primary_guild': {'identity_guild_id': '703923823887515720', 'identity_enabled': True, 'tag': 'VTSM', 'badge': '5410c0c04f21555354039fd700661550'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2276, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-11-15 21:46:30] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-11-15 21:46:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-p48n",{"micros":0.0}]']}}
[2025-11-15 21:46:30] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-11-15 21:46:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
